Ente,IdVigneto,Codice,NomeVigneto,Infection,2025-07-10,2025-07-11,2025-07-12,2025-07-13,2025-07-14,2025-07-15,2025-07-16
-1.0,5240,VIAPB01,Pb-Bosco,Oidium,28%,24%,27%,43%,43%,41%,42%
-1.0,5240,VIAPB01,Pb-Bosco,Peronospora,72%,76%,73%,57%,57%,59%,58%
4.0,5256,SFEPB02,Pb-Case,Oidium,34%,35%,22%,17%,15%,10%,32%
4.0,5256,SFEPB02,Pb-Case,Peronospora,66%,65%,78%,83%,85%,90%,68%
4.0,5297,LENMER01,Mer - Golan,Oidium,35%,36%,48%,45%,35%,43%,48%
4.0,5297,LENMER01,Mer - Golan,Peronospora,65%,64%,52%,55%,65%,57%,52%
4.0,5310,LENCSV01,Csv - Golan,Oidium,26%,24%,31%,41%,29%,38%,38%
4.0,5310,LENCSV01,Csv - Golan,Peronospora,74%,76%,69%,59%,71%,62%,62%
-1.0,5409,VIAVERPIC01,Ver/Pic-Bosco,Oidium,30%,33%,19%,21%,19%,30%,32%
-1.0,5409,VIAVERPIC01,Ver/Pic-Bosco,Peronospora,70%,67%,81%,79%,81%,70%,68%
-1.0,5415,VIAPIG01,Pig-Judrio,Oidium,26%,29%,34%,28%,22%,30%,33%
-1.0,5415,VIAPIG01,Pig-Judrio,Peronospora,74%,71%,66%,72%,78%,70%,67%
4.0,5427,LENTF01,ToFr - Golan,Oidium,27%,33%,29%,13%,18%,16%,24%
4.0,5427,LENTF01,ToFr - Golan,Peronospora,73%,67%,71%,87%,82%,84%,76%
-1.0,5457,VIATF01,ToFr-CollinaVecchia,Oidium,24%,26%,24%,30%,40%,28%,32%
-1.0,5457,VIATF01,ToFr-CollinaVecchia,Peronospora,76%,74%,76%,70%,60%,72%,68%
4.0,5460,LENSCH01,Sch-Albana,Oidium,24%,26%,24%,29%,40%,28%,32%
4.0,5460,LENSCH01,Sch-Albana,Peronospora,76%,74%,76%,71%,60%,72%,68%
-1.0,5464,VIARB01,Rib-CollinaVecchia,Oidium,30%,28%,36%,32%,33%,33%,29%
-1.0,5464,VIARB01,Rib-CollinaVecchia,Peronospora,70%,72%,64%,68%,67%,67%,71%
4.0,5553,LENCAR02,Car-Albana,Oidium,35%,37%,37%,38%,42%,46%,37%
4.0,5553,LENCAR02,Car-Albana,Peronospora,65%,63%,63%,62%,58%,54%,63%
4.0,6037,LENTR02,ToFr-Albana,Oidium,43%,38%,24%,28%,29%,28%,31%
4.0,6037,LENTR02,ToFr-Albana,Peronospora,57%,62%,76%,72%,71%,72%,69%
4.0,6436,LENSV01,Sv-Albana,Oidium,37%,35%,26%,27%,35%,46%,46%
4.0,6436,LENSV01,Sv-Albana,Peronospora,63%,65%,74%,73%,65%,54%,54%
4.0,6469,LENCF01,Cf-Albana,Oidium,31%,38%,30%,25%,36%,40%,47%
4.0,6469,LENCF01,Cf-Albana,Peronospora,69%,62%,70%,75%,64%,60%,53%
4.0,6490,LENMER02,Mer-Albana ,Oidium,38%,37%,28%,30%,39%,42%,45%
4.0,6490,LENMER02,Mer-Albana ,Peronospora,62%,63%,72%,70%,61%,58%,55%
4.0,6697,LENTR03,ToFr-Casa2,Oidium,27%,32%,32%,35%,27%,30%,42%
4.0,6697,LENTR03,ToFr-Casa2,Peronospora,73%,68%,68%,65%,73%,70%,58%
40.0,6703,CENRB01,Rib-Terrazze,Oidium,20%,34%,21%,10%,11%,11%,16%
